,GDP,cname,state
0,126183638000.0,Alameda, CA
1,104501000.0,Alpine, CA
2,1625096000.0,Amador, CA
3,8701260000.0,Butte, CA
4,1412753000.0,Calaveras, CA
5,1244078000.0,Colusa, CA
6,79295699000.0,Contra Costa, CA
7,704591000.0,Del Norte, CA
8,7435270000.0,El Dorado, CA
9,42111573000.0,Fresno, CA
10,1124597000.0,Glenn, CA
11,5185967000.0,Humboldt, CA
12,8471316000.0,Imperial, CA
13,1214209000.0,Inyo, CA
14,49221208000.0,Kern, CA
15,6054971000.0,Kings, CA
16,1875971000.0,Lake, CA
17,1071584000.0,Lassen, CA
18,703781312000.0,Los Angeles, CA
19,6194111000.0,Madera, CA
20,27175273000.0,Marin, CA
21,775501000.0,Mariposa, CA
22,3295575000.0,Mendocino, CA
23,9119281000.0,Merced, CA
24,414965000.0,Modoc, CA
25,1016599000.0,Mono, CA
26,26819709000.0,Monterey, CA
27,9997969000.0,Napa, CA
28,3982808000.0,Nevada, CA
29,231036264000.0,Orange, CA
30,21472690000.0,Placer, CA
31,1042571000.0,Plumas, CA
32,80690542000.0,Riverside, CA
33,83951132000.0,Sacramento, CA
34,2280142000.0,San Benito, CA
35,83759253000.0,San Bernardino, CA
36,214035153000.0,San Diego, CA
37,176392838000.0,San Francisco, CA
38,28686598000.0,San Joaquin, CA
39,15901604000.0,San Luis Obispo, CA
40,125850236000.0,San Mateo, CA
41,27183782000.0,Santa Barbara, CA
42,325665794000.0,Santa Clara, CA
43,14124562000.0,Santa Cruz, CA
44,7608827000.0,Shasta, CA
45,87671000.0,Sierra, CA
46,1579641000.0,Siskiyou, CA
47,24048606000.0,Solano, CA
48,27657268000.0,Sonoma, CA
49,21658223000.0,Stanislaus, CA
50,3282757000.0,Sutter, CA
51,1980076000.0,Tehama, CA
52,357454000.0,Trinity, CA
53,17762269000.0,Tulare, CA
54,2404999000.0,Tuolumne, CA
55,47846529000.0,Ventura, CA
56,13964754000.0,Yolo, CA
57,3087444000.0,Yuba, CA
